name,ring,quadrant,isNew,description
Webpack,Adopt,Tools,FALSE,
npm,Adopt,Tools,FALSE,
Mongoose,Adopt,Tools,FALSE,
Jest (except Core),Adopt,Tools,FALSE,
Storybook,Adopt,Tools,FALSE,
Mongoose,Adopt,Tools,FALSE,
date-fns,Adopt,Tools,FALSE,
Armada,Adopt,Tools,FALSE,
Jest (in Core),Assess/Trial,Tools,TRUE,
GitHub Actions (except CI),Assess/Trial,Tools,TRUE,
Cypress,Assess/Trial,Tools,TRUE,
vue-testing-library,Assess/Trial,Tools,TRUE,
Sinon,Hold,Tools,FALSE,
Mocha,Hold,Tools,FALSE,
Waterline,Decommission,Tools,FALSE,
Moment.js,Decommission,Tools,FALSE,
Yarn,Decommission,Tools,FALSE,
IO-free business logic,Adopt,Techniques,FALSE,
Repository Pattern,Adopt,Techniques,FALSE,
Atomic CSS,Adopt,Techniques,FALSE,
Monorepos,Adopt,Techniques,FALSE,
Shift-left testing,Adopt,Techniques,FALSE,
Continuous Deployment,Adopt,Techniques,FALSE,
Feature Flags,Adopt,Techniques,FALSE,
Open API validated endpoints,Adopt,Techniques,FALSE,
Flexbox,Adopt,Techniques,FALSE,
End-to-end testing,Adopt,Techniques,FALSE,
Bug bash,Assess/Trial,Techniques,TRUE,
Variable fonts,Assess/Trial,Techniques,TRUE,
Server-driven UI,Assess/Trial,Techniques,TRUE,
Relational data model,Hold,Techniques,FALSE,
Segment,Adopt,Platforms,FALSE,
Mixpanel,Adopt,Platforms,FALSE,
GitHub,Adopt,Platforms,FALSE,
JIRA,Adopt,Platforms,FALSE,
AWS,Adopt,Platforms,FALSE,
Zendesk,Adopt,Platforms,FALSE,
Sumologic,Adopt,Platforms,FALSE,
Buildkite,Adopt,Platforms,FALSE,
Firebase,Adopt,Platforms,FALSE,
AWS SQS,Adopt,Platforms,FALSE,
AWS Kinesis,Adopt,Platforms,FALSE,
Octopus Deploy,Adopt,Platforms,FALSE,
MongoDB,Adopt,Platforms,FALSE,
Datadog,Assess/Trial,Platforms,TRUE,
GitHub Packages,Assess/Trial,Platforms,TRUE,
Rollout.io,Assess/Trial,Platforms,TRUE,
BigQuery,Assess/Trial,Platforms,TRUE,
Bitbucket,Decommission,Platforms,FALSE,
Mandrill,Decommission,Platforms,FALSE,
New Relic,Decommission,Platforms,FALSE,
LogRocket,Decommission,Platforms,FALSE,
TypeScript,Adopt,Languages/Frameworks,FALSE,
Node.js,Adopt,Languages/Frameworks,FALSE,
Vue.js,Adopt,Languages/Frameworks,FALSE,
Angular,Decommission,Languages/Frameworks,FALSE,
React,Hold,Languages/Frameworks,FALSE,
Elixir,Hold,Languages/Frameworks,FALSE,
GraphQL,Hold,Languages/Frameworks,FALSE,
